gender,age,category,quantity,price,payment_method,datetime,shopping_mall,year,month
Female,67,Food & Beverage,3,15.69,Credit Card,2021-10-23,Metropol AVM,2021,October
Female,19,Toys,2,71.68,Debit Card,2022-04-07,Forum Istanbul,2022,April
Male,64,Cosmetics,2,81.32,Debit Card,2023-02-02,Kanyon,2023,February
Male,35,Food & Beverage,2,10.46,Credit Card,2021-10-17,Mall of Istanbul,2021,October
Female,40,Toys,4,143.36,Cash,2021-09-17,Metrocity,2021,September
Female,36,Cosmetics,5,203.3,Cash,2022-03-18,Emaar Square Mall,2022,March
Female,38,Clothing,1,300.08,Credit Card,2022-04-28,Cevahir AVM,2022,April
Female,35,Cosmetics,2,81.32,Cash,2021-08-31,Kanyon,2021,August
Male,51,Clothing,4,1200.32,Credit Card,2022-09-01,Viaport Outlet,2022,September
Female,22,Clothing,3,900.24,Credit Card,2021-12-29,Kanyon,2021,December
Female,49,Clothing,1,300.08,Cash,2021-11-13,Viaport Outlet,2021,November
Female,20,Clothing,2,600.16,Credit Card,2022-07-12,Metropol AVM,2022,July
Male,37,Food & Beverage,5,26.15,Credit Card,2021-07-16,Istinye Park,2021,July
Female,59,Clothing,5,1500.4,Credit Card,2022-12-03,Viaport Outlet,2022,December
Male,53,Cosmetics,3,121.98,Cash,2022-08-14,Cevahir AVM,2022,August
Male,32,Cosmetics,4,162.64,Credit Card,2022-09-03,Viaport Outlet,2022,September
Male,57,Clothing,3,900.24,Credit Card,2021-06-08,Kanyon,2021,June
Male,60,Food & Beverage,5,26.15,Cash,2021-03-30,Zorlu Center,2021,March
Female,68,Shoes,4,2400.68,Cash,2022-03-13,Metropol AVM,2022,March
Female,53,Toys,3,107.52,Credit Card,2021-05-13,Zorlu Center,2021,May
Female,68,Books,2,30.3,Debit Card,2022-09-15,Kanyon,2022,September
Male,33,Clothing,2,600.16,Credit Card,2023-01-19,Mall of Istanbul,2023,January
Male,65,Shoes,5,3000.85,Cash,2021-11-04,Mall of Istanbul,2021,November
Female,48,Toys,4,143.36,Credit Card,2021-08-27,Zorlu Center,2021,August
Female,26,Technology,5,5250.0,Credit Card,2022-11-20,Mall of Istanbul,2022,November
Male,61,Cosmetics,5,203.3,Debit Card,2023-01-25,Istinye Park,2023,January
Female,19,Food & Beverage,5,26.15,Debit Card,2021-08-29,Kanyon,2021,August
Female,60,Clothing,4,1200.32,Credit Card,2022-09-20,Istinye Park,2022,September
Female,20,Clothing,3,900.24,Debit Card,2021-04-11,Zorlu Center,2021,April
Female,51,Books,1,15.15,Debit Card,2022-01-03,Metropol AVM,2022,January
Male,60,Shoes,1,600.17,Cash,2022-06-21,Cevahir AVM,2022,June
Male,27,Souvenir,5,58.65,Cash,2022-10-15,Mall of Istanbul,2022,October
Female,28,Souvenir,2,23.46,Cash,2022-02-20,Metrocity,2022,February
Female,61,Clothing,1,300.08,Credit Card,2022-12-20,Kanyon,2022,December
Male,62,Clothing,1,300.08,Debit Card,2021-09-10,Kanyon,2021,September
Female,41,Clothing,2,600.16,Cash,2021-04-27,Mall of Istanbul,2021,April
Female,48,Food & Beverage,2,10.46,Credit Card,2021-07-09,Viaport Outlet,2021,July
Female,65,Clothing,2,600.16,Cash,2021-11-23,Metrocity,2021,November
Female,49,Books,5,75.75,Credit Card,2021-06-22,Mall of Istanbul,2021,June
Male,21,Clothing,1,300.08,Credit Card,2022-12-10,Metrocity,2022,December
Female,24,Clothing,5,1500.4,Debit Card,2022-09-27,Cevahir AVM,2022,September
Male,50,Clothing,1,300.08,Credit Card,2022-04-24,Mall of Istanbul,2022,April
Female,22,Cosmetics,3,121.98,Debit Card,2022-04-29,Viaport Outlet,2022,April
Male,41,Souvenir,5,58.65,Debit Card,2022-01-24,Kanyon,2022,January
Female,58,Clothing,3,900.24,Credit Card,2023-12-01,Metropol AVM,2023,December
Female,61,Clothing,4,1200.32,Debit Card,2021-03-15,Zorlu Center,2021,March
Female,63,Cosmetics,5,203.3,Debit Card,2022-12-02,Kanyon,2022,December
Female,56,Food & Beverage,4,20.92,Cash,2022-10-24,Istinye Park,2022,October
Female,31,Souvenir,1,11.73,Debit Card,2022-08-16,Mall of Istanbul,2022,August
Male,41,Shoes,5,3000.85,Cash,2021-05-17,Kanyon,2021,May
Female,51,Cosmetics,3,121.98,Credit Card,2021-11-11,Metrocity,2021,November
Female,57,Toys,3,107.52,Cash,2021-03-11,Metrocity,2021,March
Male,53,Clothing,1,300.08,Cash,2021-03-19,Viaport Outlet,2021,March
Male,49,Toys,4,143.36,Cash,2021-07-29,Mall of Istanbul,2021,July
Male,53,Toys,2,71.68,Credit Card,2021-07-18,Istinye Park,2021,July
Female,45,Food & Beverage,2,10.46,Cash,2022-12-06,Mall of Istanbul,2022,December
Female,48,Clothing,2,600.16,Credit Card,2021-06-21,Metropol AVM,2021,June
Female,32,Clothing,5,1500.4,Cash,2022-07-24,Istinye Park,2022,July
Female,63,Cosmetics,3,121.98,Credit Card,2022-06-06,Kanyon,2022,June
Female,40,Clothing,1,300.08,Cash,2021-11-24,Cevahir AVM,2021,November
Male,66,Souvenir,1,11.73,Cash,2022-05-06,Emaar Square Mall,2022,May
Male,45,Cosmetics,3,121.98,Cash,2021-10-24,Istinye Park,2021,October
Female,62,Toys,1,35.84,Debit Card,2021-02-24,Zorlu Center,2021,February
Female,60,Clothing,3,900.24,Cash,2022-05-26,Viaport Outlet,2022,May
Female,58,Cosmetics,4,162.64,Cash,2022-04-12,Metropol AVM,2022,April
Female,56,Technology,5,5250.0,Credit Card,2022-10-21,Viaport Outlet,2022,October
Female,66,Cosmetics,4,162.64,Cash,2022-05-15,Istinye Park,2022,May
Female,18,Clothing,2,600.16,Credit Card,2022-01-18,Metrocity,2022,January
Male,19,Toys,1,35.84,Cash,2022-03-01,Zorlu Center,2022,March
Female,26,Souvenir,4,46.92,Debit Card,2021-12-22,Kanyon,2021,December
Male,60,Technology,2,2100.0,Credit Card,2021-10-03,Cevahir AVM,2021,October
Female,69,Shoes,3,1800.51,Debit Card,2022-04-17,Mall of Istanbul,2022,April
Male,68,Toys,2,71.68,Debit Card,2022-01-24,Cevahir AVM,2022,January
Female,30,Shoes,3,1800.51,Debit Card,2022-02-13,Kanyon,2022,February
Male,34,Clothing,5,1500.4,Credit Card,2021-02-01,Metrocity,2021,February
Female,32,Toys,1,35.84,Cash,2021-10-11,Emaar Square Mall,2021,October
Male,33,Clothing,1,300.08,Credit Card,2021-03-05,Kanyon,2021,March
Female,31,Food & Beverage,3,15.69,Credit Card,2022-09-23,Mall of Istanbul,2022,September
Female,24,Clothing,5,1500.4,Cash,2021-01-14,Mall of Istanbul,2021,January
Female,59,Food & Beverage,4,20.92,Cash,2022-06-10,Viaport Outlet,2022,June
Female,31,Food & Beverage,5,26.15,Cash,2022-10-07,Forum Istanbul,2022,October
Male,26,Shoes,2,1200.34,Debit Card,2023-08-02,Emaar Square Mall,2023,August
Female,40,Cosmetics,4,162.64,Credit Card,2021-12-06,Kanyon,2021,December
Male,33,Shoes,3,1800.51,Debit Card,2022-08-14,Zorlu Center,2022,August
Female,49,Technology,5,5250.0,Cash,2021-06-01,Kanyon,2021,June
Female,59,Clothing,4,1200.32,Cash,2021-08-04,Metrocity,2021,August
Female,35,Clothing,4,1200.32,Credit Card,2022-08-13,Forum Istanbul,2022,August
Female,23,Shoes,5,3000.85,Debit Card,2021-02-23,Metrocity,2021,February
Male,28,Food & Beverage,4,20.92,Cash,2021-08-01,Mall of Istanbul,2021,August
Male,38,Cosmetics,2,81.32,Debit Card,2022-01-01,Kanyon,2022,January
Female,43,Books,3,45.45,Credit Card,2021-01-02,Kanyon,2021,January
Male,62,Cosmetics,5,203.3,Cash,2021-06-23,Metrocity,2021,June
Female,50,Toys,5,179.2,Cash,2023-02-02,Mall of Istanbul,2023,February
Female,25,Toys,4,143.36,Credit Card,2022-04-11,Cevahir AVM,2022,April
Male,27,Cosmetics,4,162.64,Debit Card,2022-09-14,Forum Istanbul,2022,September
Female,60,Cosmetics,5,203.3,Debit Card,2022-04-09,Metropol AVM,2022,April
Male,44,Clothing,5,1500.4,Debit Card,2021-12-10,Mall of Istanbul,2021,December
Female,23,Technology,3,3150.0,Credit Card,2022-12-30,Kanyon,2022,December
Female,52,Cosmetics,3,121.98,Cash,2022-07-12,Kanyon,2022,July
Female,25,Cosmetics,3,121.98,Debit Card,2021-11-11,Kanyon,2021,November
Female,67,Cosmetics,3,121.98,Cash,2022-03-28,Kanyon,2022,March
Male,69,Cosmetics,5,203.3,Credit Card,2022-07-02,Emaar Square Mall,2022,July
Male,56,Cosmetics,2,81.32,Cash,2022-03-17,Kanyon,2022,March
Female,58,Clothing,1,300.08,Credit Card,2022-09-28,Kanyon,2022,September
Female,58,Toys,2,71.68,Credit Card,2022-02-05,Kanyon,2022,February
Female,24,Shoes,1,600.17,Credit Card,2023-01-27,Cevahir AVM,2023,January
Female,32,Clothing,5,1500.4,Credit Card,2022-08-22,Kanyon,2022,August
Female,35,Clothing,2,600.16,Credit Card,2022-02-23,Metropol AVM,2022,February
Female,34,Books,3,45.45,Credit Card,2022-08-19,Mall of Istanbul,2022,August
Male,37,Clothing,1,300.08,Debit Card,2023-02-17,Kanyon,2023,February
Female,44,Toys,1,35.84,Cash,2021-02-03,Kanyon,2021,February
Female,24,Toys,2,71.68,Credit Card,2021-02-28,Zorlu Center,2021,February
Female,62,Toys,2,71.68,Debit Card,2021-01-23,Mall of Istanbul,2021,January
Female,62,Toys,1,35.84,Credit Card,2021-07-08,Cevahir AVM,2021,July
Male,49,Clothing,3,900.24,Debit Card,2022-04-20,Forum Istanbul,2022,April
Female,50,Cosmetics,3,121.98,Credit Card,2022-03-01,Forum Istanbul,2022,March
Male,24,Clothing,5,1500.4,Cash,2021-03-18,Mall of Istanbul,2021,March
Male,26,Cosmetics,1,40.66,Credit Card,2023-02-25,Mall of Istanbul,2023,February
Male,62,Toys,1,35.84,Credit Card,2022-08-24,Viaport Outlet,2022,August
Female,57,Clothing,2,600.16,Cash,2022-08-29,Zorlu Center,2022,August
Female,41,Books,1,15.15,Cash,2021-03-01,Metrocity,2021,March
Female,40,Clothing,4,1200.32,Credit Card,2021-10-16,Kanyon,2021,October
Male,43,Clothing,5,1500.4,Credit Card,2022-12-15,Kanyon,2022,December
Female,44,Clothing,4,1200.32,Cash,2021-04-22,Mall of Istanbul,2021,April
Male,45,Clothing,3,900.24,Cash,2022-10-10,Metrocity,2022,October
Female,67,Cosmetics,4,162.64,Debit Card,2021-10-31,Cevahir AVM,2021,October
Female,61,Clothing,3,900.24,Cash,2022-02-02,Metropol AVM,2022,February
Male,38,Toys,5,179.2,Credit Card,2022-01-11,Metrocity,2022,January
Female,19,Technology,2,2100.0,Cash,2021-06-22,Kanyon,2021,June
Female,38,Cosmetics,2,81.32,Credit Card,2021-02-13,Metrocity,2021,February
Male,51,Food & Beverage,4,20.92,Cash,2021-12-14,Metrocity,2021,December
Female,52,Cosmetics,5,203.3,Cash,2021-03-26,Kanyon,2021,March
Female,35,Clothing,2,600.16,Credit Card,2022-03-07,Kanyon,2022,March
Male,42,Clothing,3,900.24,Cash,2021-07-18,Istinye Park,2021,July
Female,69,Toys,3,107.52,Credit Card,2021-09-16,Metropol AVM,2021,September
Male,42,Cosmetics,5,203.3,Cash,2022-08-08,Mall of Istanbul,2022,August
Male,37,Food & Beverage,2,10.46,Credit Card,2022-08-31,Istinye Park,2022,August
Male,58,Food & Beverage,1,5.23,Debit Card,2022-03-26,Metropol AVM,2022,March
Female,47,Toys,3,107.52,Debit Card,2021-10-26,Istinye Park,2021,October
Male,63,Food & Beverage,2,10.46,Cash,2023-02-19,Viaport Outlet,2023,February
Female,25,Clothing,5,1500.4,Cash,2022-08-15,Kanyon,2022,August
Female,28,Food & Beverage,4,20.92,Credit Card,2022-05-20,Metrocity,2022,May
Female,34,Food & Beverage,3,15.69,Credit Card,2022-04-02,Viaport Outlet,2022,April
Female,51,Clothing,5,1500.4,Credit Card,2021-01-13,Metrocity,2021,January
Female,48,Food & Beverage,1,5.23,Debit Card,2023-12-02,Metrocity,2023,December
Female,50,Books,2,30.3,Cash,2022-04-14,Metrocity,2022,April
Male,65,Clothing,2,600.16,Cash,2021-11-09,Mall of Istanbul,2021,November
Female,36,Toys,3,107.52,Cash,2021-08-30,Istinye Park,2021,August
Male,53,Cosmetics,1,40.66,Debit Card,2022-01-21,Istinye Park,2022,January
Female,40,Cosmetics,2,81.32,Credit Card,2021-05-31,Metrocity,2021,May
Female,40,Toys,1,35.84,Cash,2022-02-15,Viaport Outlet,2022,February
Female,22,Clothing,3,900.24,Debit Card,2021-09-01,Viaport Outlet,2021,September
Female,29,Technology,3,3150.0,Cash,2021-01-20,Kanyon,2021,January
Female,27,Clothing,1,300.08,Cash,2022-03-27,Metropol AVM,2022,March
Female,63,Souvenir,4,46.92,Debit Card,2021-01-29,Istinye Park,2021,January
Male,26,Shoes,2,1200.34,Credit Card,2022-09-20,Mall of Istanbul,2022,September
Female,28,Clothing,3,900.24,Cash,2021-05-21,Metrocity,2021,May
Male,24,Clothing,1,300.08,Cash,2022-11-11,Emaar Square Mall,2022,November
Male,30,Clothing,1,300.08,Cash,2023-01-20,Kanyon,2023,January
Female,53,Shoes,2,1200.34,Cash,2022-07-14,Istinye Park,2022,July
Female,38,Clothing,3,900.24,Cash,2022-05-20,Kanyon,2022,May
Female,38,Clothing,3,900.24,Cash,2021-07-09,Mall of Istanbul,2021,July
Male,55,Shoes,2,1200.34,Debit Card,2022-08-22,Mall of Istanbul,2022,August
Male,40,Shoes,2,1200.34,Cash,2022-12-13,Cevahir AVM,2022,December
Female,20,Clothing,3,900.24,Cash,2022-02-13,Mall of Istanbul,2022,February
Female,30,Clothing,5,1500.4,Credit Card,2021-08-12,Kanyon,2021,August
Female,56,Cosmetics,2,81.32,Credit Card,2021-11-01,Mall of Istanbul,2021,November
Male,45,Clothing,5,1500.4,Credit Card,2021-06-23,Viaport Outlet,2021,June
Male,53,Clothing,1,300.08,Credit Card,2022-03-11,Mall of Istanbul,2022,March
Male,19,Cosmetics,2,81.32,Debit Card,2022-07-11,Metrocity,2022,July
Male,50,Cosmetics,3,121.98,Credit Card,2022-12-18,Metrocity,2022,December
Female,21,Cosmetics,3,121.98,Credit Card,2022-12-10,Istinye Park,2022,December
Female,42,Clothing,3,900.24,Credit Card,2022-09-12,Metropol AVM,2022,September
Female,64,Clothing,3,900.24,Cash,2021-08-16,Kanyon,2021,August
Female,62,Clothing,1,300.08,Cash,2022-03-05,Kanyon,2022,March
Male,27,Clothing,2,600.16,Debit Card,2022-08-11,Metropol AVM,2022,August
Female,65,Books,3,45.45,Cash,2022-09-25,Mall of Istanbul,2022,September
Male,28,Cosmetics,3,121.98,Cash,2021-06-09,Metropol AVM,2021,June
Male,44,Clothing,5,1500.4,Cash,2022-12-14,Mall of Istanbul,2022,December
Male,31,Clothing,3,900.24,Cash,2021-07-24,Istinye Park,2021,July
Male,68,Technology,1,1050.0,Cash,2021-07-05,Mall of Istanbul,2021,July
Female,25,Clothing,3,900.24,Credit Card,2023-02-26,Kanyon,2023,February
Male,34,Technology,2,2100.0,Cash,2021-11-27,Emaar Square Mall,2021,November
Male,56,Toys,3,107.52,Cash,2021-05-31,Metrocity,2021,May
Male,55,Food & Beverage,2,10.46,Cash,2022-01-24,Istinye Park,2022,January
Male,48,Books,1,15.15,Debit Card,2022-09-28,Mall of Istanbul,2022,September
Male,38,Food & Beverage,1,5.23,Credit Card,2021-12-01,Forum Istanbul,2021,December
Male,30,Clothing,3,900.24,Debit Card,2022-04-09,Mall of Istanbul,2022,April
Male,42,Cosmetics,3,121.98,Cash,2021-08-05,Istinye Park,2021,August
Female,33,Clothing,4,1200.32,Credit Card,2021-12-30,Mall of Istanbul,2021,December
Female,54,Clothing,5,1500.4,Credit Card,2021-09-22,Metrocity,2021,September
Male,23,Souvenir,3,35.19,Credit Card,2022-06-12,Cevahir AVM,2022,June
Female,47,Cosmetics,4,162.64,Cash,2023-08-01,Mall of Istanbul,2023,August
Male,37,Clothing,5,1500.4,Debit Card,2021-08-10,Metropol AVM,2021,August
Female,63,Clothing,5,1500.4,Credit Card,2022-10-28,Metropol AVM,2022,October
Female,47,Cosmetics,5,203.3,Debit Card,2021-07-17,Mall of Istanbul,2021,July
Female,57,Clothing,5,1500.4,Debit Card,2021-04-16,Mall of Istanbul,2021,April
Female,30,Clothing,2,600.16,Cash,2021-07-07,Mall of Istanbul,2021,July
Female,51,Food & Beverage,2,10.46,Cash,2022-01-20,Mall of Istanbul,2022,January
Female,48,Clothing,4,1200.32,Credit Card,2021-09-01,Istinye Park,2021,September
Female,28,Food & Beverage,3,15.69,Cash,2022-04-09,Zorlu Center,2022,April
Female,27,Clothing,1,300.08,Credit Card,2021-03-01,Istinye Park,2021,March
Female,37,Cosmetics,2,81.32,Credit Card,2021-12-01,Kanyon,2021,December
Male,18,Food & Beverage,1,5.23,Credit Card,2021-10-25,Metropol AVM,2021,October
Female,48,Shoes,1,600.17,Credit Card,2022-11-26,Emaar Square Mall,2022,November
Female,29,Shoes,1,600.17,Credit Card,2022-10-11,Mall of Istanbul,2022,October
Female,26,Cosmetics,4,162.64,Cash,2023-01-22,Kanyon,2023,January
Female,35,Clothing,3,900.24,Credit Card,2021-09-11,Metrocity,2021,September
Female,24,Shoes,3,1800.51,Cash,2021-11-17,Metropol AVM,2021,November
Female,43,Food & Beverage,3,15.69,Debit Card,2021-09-01,Kanyon,2021,September
Male,47,Cosmetics,2,81.32,Cash,2023-06-02,Istinye Park,2023,June
Female,68,Clothing,3,900.24,Credit Card,2021-11-12,Kanyon,2021,November
Male,49,Clothing,5,1500.4,Cash,2022-09-08,Forum Istanbul,2022,September
Female,19,Food & Beverage,3,15.69,Debit Card,2021-05-15,Cevahir AVM,2021,May
Female,69,Books,2,30.3,Cash,2021-03-25,Istinye Park,2021,March
Female,64,Technology,4,4200.0,Cash,2021-03-05,Mall of Istanbul,2021,March
Male,54,Clothing,3,900.24,Cash,2022-10-17,Forum Istanbul,2022,October
Female,65,Clothing,3,900.24,Cash,2021-09-17,Viaport Outlet,2021,September
Female,56,Clothing,1,300.08,Cash,2022-10-27,Mall of Istanbul,2022,October
Female,56,Clothing,3,900.24,Cash,2022-11-05,Metrocity,2022,November
Female,24,Books,4,60.6,Cash,2021-04-16,Mall of Istanbul,2021,April
Female,24,Cosmetics,1,40.66,Cash,2022-01-03,Istinye Park,2022,January
Male,27,Technology,1,1050.0,Debit Card,2022-01-30,Kanyon,2022,January
Male,28,Shoes,4,2400.68,Credit Card,2022-04-30,Kanyon,2022,April
Female,36,Clothing,2,600.16,Credit Card,2021-11-23,Viaport Outlet,2021,November
Female,36,Cosmetics,2,81.32,Credit Card,2021-05-12,Istinye Park,2021,May
Female,26,Clothing,2,600.16,Cash,2023-09-01,Kanyon,2023,September
Female,55,Souvenir,5,58.65,Credit Card,2021-01-05,Metropol AVM,2021,January
Female,55,Clothing,1,300.08,Cash,2021-11-28,Zorlu Center,2021,November
Female,43,Technology,1,1050.0,Cash,2021-12-21,Mall of Istanbul,2021,December
Female,29,Food & Beverage,4,20.92,Cash,2022-02-18,Kanyon,2022,February
Male,64,Clothing,1,300.08,Cash,2022-03-22,Istinye Park,2022,March
Male,48,Toys,5,179.2,Cash,2022-04-13,Zorlu Center,2022,April
Female,52,Souvenir,4,46.92,Cash,2022-11-01,Metropol AVM,2022,November
Male,24,Cosmetics,5,203.3,Debit Card,2022-01-07,Istinye Park,2022,January
Female,22,Technology,4,4200.0,Debit Card,2023-01-23,Cevahir AVM,2023,January
Female,48,Souvenir,5,58.65,Credit Card,2022-07-04,Kanyon,2022,July
Female,42,Toys,4,143.36,Cash,2022-10-06,Metropol AVM,2022,October
Male,21,Clothing,2,600.16,Debit Card,2022-06-20,Metrocity,2022,June
Female,18,Clothing,2,600.16,Debit Card,2021-07-31,Istinye Park,2021,July
Male,39,Food & Beverage,1,5.23,Cash,2022-01-22,Metrocity,2022,January
Female,28,Technology,3,3150.0,Cash,2021-03-20,Zorlu Center,2021,March
Female,66,Books,1,15.15,Cash,2022-07-30,Metropol AVM,2022,July
Female,48,Cosmetics,1,40.66,Credit Card,2023-11-02,Viaport Outlet,2023,November
Female,45,Clothing,1,300.08,Cash,2022-07-03,Metrocity,2022,July
Male,29,Books,4,60.6,Debit Card,2022-06-29,Metrocity,2022,June
